Nom,Fonction
Gabriel Attal,Premier ministre
Bruno Le Maire,"Ministre de l'Économie, des Finances et de la Souveraineté industrielle et numérique"
Gérald Darmanin,Ministre de l’Intérieur et des Outre-mer
Catherine Vautrin,"Ministre du Travail, de la Santé et des Solidarités"
Amélie Oudéa-Castéra,"Ministre de l'Éducation nationale, de la Jeunesse, des Sports et des Jeux olympiques et paralympiques"
Marc Fesneau,Ministre de l'Agriculture et de la Souveraineté alimentaire
Rachida Dati,Ministre de la Culture
Sébastien Lecornu,Ministre des Armées
Éric Dupond-Moretti,"Garde des Sceaux, ministre de la Justice"
Stéphane Séjourné,Ministre de l’Europe et des Affaires étrangères
Christophe Béchu,Ministre de la Transition écologique et de la Cohésion des territoires
Sylvie Retailleau,Ministre de l'Enseignement supérieur et de la Recherche
